Year,State,D1 avg % area,D2+ avg % area
2000,Alabama,82.59,59.3
2000,Arkansas,23.27,9.53
2000,Florida,0.75,0.16
2000,Georgia,2.06,0
2000,Kentucky,3.5,0
2000,Mississippi,18.96,4.97
2000,North Carolina,13.11,5.15
2000,South Carolina,8.45,2.07
2000,Tennessee,75.94,51.82
2000,Virginia,74.68,64.47
2001,Alabama,17.63,3.68
2001,Arkansas,6.58,0.88
2001,Florida,14.72,8.06
2001,Georgia,73.75,51.06
2001,Kentucky,24.86,8.52
2001,Mississippi,1.51,0.32
2001,North Carolina,0.39,0.05
2001,South Carolina,0,0
2001,Tennessee,14.69,1.24
2001,Virginia,65.59,44.73
2002,Alabama,9,1.51
2002,Arkansas,10.59,2.38
2002,Florida,20.2,8.6
2002,Georgia,16.49,2.92
2002,Kentucky,11.67,0.12
2002,Mississippi,3.67,0.19
2002,North Carolina,14.2,4.45
2002,South Carolina,52.15,32.55
2002,Tennessee,0.97,0
2002,Virginia,44.74,20.4
2003,Alabama,10.98,4.52
2003,Arkansas,18.53,4.76
2003,Florida,15.94,7.25
2003,Georgia,11.46,1.92
2003,Kentucky,0.01,0
2003,Mississippi,16.34,11.39
2003,North Carolina,10.63,3.75
2003,South Carolina,46.68,34.01
2003,Tennessee,0,0
2003,Virginia,4.69,0.79
2004,Alabama,34.65,9.63
2004,Arkansas,2.33,0.27
2004,Florida,5,1.06
2004,Georgia,7.32,0.98
2004,Kentucky,31.82,2.48
2004,Mississippi,14.66,5.14
2004,North Carolina,19.49,4.65
2004,South Carolina,0,0
2004,Tennessee,0.33,0
2004,Virginia,21.1,13.57
2005,Alabama,39.55,16.39
2005,Arkansas,9.26,0.55
2005,Florida,22.49,7.23
2005,Georgia,38.75,25.02
2005,Kentucky,9.53,0.8
2005,Mississippi,50.96,23.09
2005,North Carolina,14.68,3.06
2005,South Carolina,76.13,54.39
2005,Tennessee,16.07,8.23
2005,Virginia,10.05,1.52
2006,Alabama,11.49,3.11
2006,Arkansas,4.58,1.12
2006,Florida,11.15,1.36
2006,Georgia,28,12.14
2006,Kentucky,0.18,0
2006,Mississippi,4.24,0.21
2006,North Carolina,8.11,2.71
2006,South Carolina,24.41,6.81
2006,Tennessee,19.46,2.26
2006,Virginia,12.54,4.51
2007,Alabama,54.49,30.11
2007,Arkansas,11.93,0.01
2007,Florida,0.01,0
2007,Georgia,0.04,0
2007,Kentucky,1.35,0
2007,Mississippi,31.11,13.42
2007,North Carolina,40.06,13.65
2007,South Carolina,8.08,0.3
2007,Tennessee,0,0
2007,Virginia,5.45,2.72
2008,Alabama,23.27,13.43
2008,Arkansas,8.98,2.57
2008,Florida,27.57,12.3
2008,Georgia,49.57,39.11
2008,Kentucky,62.57,40.6
2008,Mississippi,0.75,0
2008,North Carolina,0.03,0
2008,South Carolina,7.21,0.41
2008,Tennessee,26.79,8.43
2008,Virginia,1.35,0
2009,Alabama,6.39,1.89
2009,Arkansas,0.09,0
2009,Florida,5.66,1.56
2009,Georgia,31.9,27.95
2009,Kentucky,57.86,38.58
2009,Mississippi,13.17,3.24
2009,North Carolina,65.25,37.91
2009,South Carolina,63.83,24.38
2009,Tennessee,9.03,2.77
2009,Virginia,9.53,0.08
2010,Alabama,3.31,0.41
2010,Arkansas,15.43,5.19
2010,Florida,5.95,0
2010,Georgia,6.89,0.64
2010,Kentucky,0.93,0
2010,Mississippi,6.87,0.4
2010,North Carolina,32.44,9.59
2010,South Carolina,0,0
2010,Tennessee,18.74,5.64
2010,Virginia,6.7,1.42
2011,Alabama,42.68,27.54
2011,Arkansas,13.98,4.97
2011,Florida,31.8,5.93
